relative_symbol_index,noiseless_adc_input_v,afe_noise_v,additional_adc_noise_v,aperture_jitter_s,signal_slope_v_per_s,jitter_voltage_error_v,impaired_adc_input_v,adc_output_code_unsigned,adc_clipped
2162,0.018421953787734802,0.006576948231683776,-0.0007261404089131014,5.406497450404644e-15,1467635707.264922,7.934768709450617e-06,0.024280696379214928,35,False
2163,0.011614071607233756,0.002972175417090823,-0.0006583254611497968,1.761711654936488e-13,-3168332794.299825,-0.0005581688810435493,0.013369752682131234,34,False
2164,-0.04034922523913554,0.002706957953100988,-0.0011501072063291483,3.088332282835129e-14,493994264.01966774,1.5256184331073201e-05,-0.038777118308032626,25,False
2165,0.015926431062835138,0.0015150751291258605,0.0006037090028559224,-1.1230396985779789e-13,4091770479.2376323,-0.0004595220685653303,0.017585693126251592,34,False
2166,0.07446196353227252,-0.0021277844977627774,0.0006150044527058937,6.648814457836857e-14,2003312411.2359083,0.00013319652523389322,0.07308238001244953,43,False
2167,0.0944716537901122,-0.00019165756471883482,-0.0006554879847924294,-2.9279989976168587e-13,591848760.9297553,-0.00017329325787431035,0.09345121498272663,46,False
2168,0.07346266043774326,0.006087047385707115,0.0001641405150312726,1.9344458752765212e-13,-4795724398.363955,-0.0009277069281378127,0.07878614141034383,44,False
2169,-0.03233742184341882,-0.0023182292463508392,-0.0009164966748158561,2.179672028531274e-13,-4324743792.539805,-0.0009426523075163274,-0.03651480007210184,26,False
2170,-0.05319318459254954,-0.0018792764081832392,0.0007170766574184014,4.9182148334338105e-14,2446201081.2469344,0.00012030942443350499,-0.054235074918880875,23,False
2171,0.018863605769565174,-0.002870795601880103,0.00063113568815364,-1.1071845975273501e-13,4275480137.859996,-0.0004733745755672699,0.01615057128027144,34,False
2172,0.058314651444334946,9.328802887532823e-05,0.000142383080666976,-2.1980269474120576e-14,-1484454349.4656441,3.2628706623285214e-05,0.05858295126050053,41,False
2173,0.012702644974655305,0.0018675169995934643,-0.0008773774860705485,-2.2481385605711633e-14,-805415327.5690655,1.8106852551830706e-05,0.013710891340730051,34,False
2174,0.01769665851868641,-0.0008465498325497783,0.0005525564100355817,7.987979893719641e-16,-674766433.4807487,-5.390020703601132e-07,0.017402126094101855,34,False
2175,-0.019647269037998908,0.0054488708289669235,0.0011001583567448812,-2.5271365545495296e-14,-3072341501.250073,7.764226515868639e-05,-0.013020597587128417,29,False
2176,-0.07017315420156524,0.0016554878277892223,0.000857542362864874,-1.6740725451493694e-13,-1909997029.8536305,0.00031974735889948034,-0.06734037665201166,21,False
2177,-0.0899936313552568,0.0002446332891211282,-0.00026193589262806953,4.803852667814959e-14,-630333468.7524207,-3.028029115479373e-05,-0.09004121424991854,17,False
2178,-0.08916466858647032,-0.008071528847660643,-3.755772115868559e-07,1.8341185067119626e-13,1318268024.6857467,0.00024178597808827503,-0.09699478703325427,16,False
2179,-0.038998818521062524,-0.0026411104541231157,-0.00031637957133157313,-2.04739483569001e-13,4651902078.8517065,-0.0009524280292376605,-0.04290873657575488,25,False
2180,0.02567917847164373,-0.004061353291907878,-9.647046345144289e-05,-6.441722459347842e-14,-214658499.54408145,1.382770477603018e-05,0.02153518242106044,35,False
2181,-0.017671952004991016,-0.0002596325580609107,-0.0005658996332926508,-2.1822923652820496e-13,-2213078425.3406477,0.0004829584151391316,-0.018014525781205444,29,False
2182,-0.01692500653262021,-0.0017629786745811055,-0.0006058172960429749,-2.3751614368268957e-13,3107756692.8197794,-0.0007381423851826229,-0.020031944888426915,28,False
2183,0.025518662459878702,0.003764997175811725,0.00010231458790660065,1.9044407850035494e-13,-2166662952.0427155,-0.00041262812932263366,0.028973346094274394,36,False
2184,-0.04769482580445503,-0.0016610862063593324,-0.00027536107465077553,-2.5822861113261736e-14,-2140872292.9432182,5.528344788190292e-05,-0.04957598963758323,24,False
2185,-0.04596815473590524,-0.007051894949564975,0.00016634471022916887,3.380906713959679e-14,722624959.4032974,2.4431275769214485e-05,-0.05282927369947183,23,False
2186,-0.030559182327308903,0.005357320433796565,0.00017107201132331173,9.963889271723198e-14,1749559621.633779,0.0001743241834423691,-0.02485646569874666,28,False
