afe_output_relative_time_ui,afe_output_pulse_v_per_pam_unit
-677.0,3.019880667229762e-07
-676.875,3.0187173187444274e-07
-676.75,3.017554594008749e-07
-676.625,3.016392492449185e-07
-676.5,3.0152310134861133e-07
-676.375,3.0140701565454537e-07
-676.25,3.012909921050385e-07
-676.125,3.0117503064255895e-07
-676.0,3.0105913120976225e-07
-675.8749999999999,3.0094329374921316e-07
-675.75,3.008275182038517e-07
-675.625,3.007118045164557e-07
-675.5,3.005961526299621e-07
-675.375,3.0048056248737453e-07
-675.25,3.003650340318738e-07
-675.125,3.002495672066282e-07
-675.0000000000001,3.0013416195482586e-07
-674.875,3.0001881821983793e-07
-674.75,2.999035359448368e-07
-674.625,2.997883150732281e-07
-674.4999999999999,2.9967315554840327e-07
-674.375,2.995580573139138e-07
-674.25,2.994430203133898e-07
-674.125,2.9932804449051135e-07
-674.0,2.992131297891199e-07
-673.875,2.9909827615284727e-07
-673.75,2.9898348352589547e-07
-673.6250000000001,2.9886875185212944e-07
-673.5,2.9875408107568883e-07
-673.375,2.986394711406589e-07
-673.2499999999999,2.9852492199122084e-07
-673.125,2.9841043357183535e-07
-673.0,2.982960058266841e-07
-672.875,2.981816387004442e-07
-672.75,2.9806733213700173e-07
-672.625,2.979530860813818e-07
-672.5,2.9783890047728205e-07
-672.375,2.977247752696948e-07
-672.2500000000001,2.9761071040308367e-07
-672.125,2.974967058221136e-07
-672.0,2.973827614718076e-07
-671.8749999999999,2.97268877296625e-07
-671.75,2.9715505324201065e-07
-671.625,2.9704128925266816e-07
-671.5,2.9692758527473114e-07
-671.375,2.9681394125296064e-07
-671.25,2.967003571328925e-07
-671.125,2.965868328599376e-07
-671.0,2.964733683792404e-07
-670.875,2.963599636366754e-07
-670.75,2.962466185777313e-07
-670.625,2.961333331479476e-07
-670.4999999999999,2.960201072928721e-07
-670.375,2.9590694095827677e-07
-670.25,2.957938340901817e-07
-670.125,2.9568078663419247e-07
-670.0,2.9556779853649214e-07
-669.875,2.954548697429434e-07
-669.75,2.953420001996591e-07
-669.625,2.9522918985271574e-07
-669.5,2.9511643864837657e-07
-669.375,2.9500374653290556e-07
-669.25,2.948911134524436e-07
-669.1249999999999,2.9477853935350914e-07
-669.0,2.946660241825115e-07
-668.875,2.945535678860449e-07
-668.75,2.944411704106677e-07
-668.625,2.9432883170302883e-07
-668.5,2.9421655170993387e-07
-668.375,2.9410433037811027e-07
-668.25,2.9399216765447216e-07
-668.125,2.938800634859306e-07
-668.0,2.9376801781941514e-07
-667.875,2.936560306019991e-07
-667.7499999999999,2.9354410178072665e-07
-667.625,2.934322313028848e-07
-667.5,2.933204191155068e-07
-667.375,2.9320866516604995e-07
-667.25,2.930969694018968e-07
-667.125,2.9298533177046443e-07
-667.0,2.9287375221933426e-07
-666.8750000000001,2.9276223069599117e-07
-666.75,2.926507671482842e-07
-666.625,2.9253936152385574e-07
-666.5,2.924280137705343e-07
-666.3749999999999,2.923167238361473e-07
-666.25,2.922054916685605e-07
-666.125,2.920943172157574e-07
-666.0,2.919832004257306e-07
-665.875,2.9187214124647565e-07
-665.75,2.91761139626138e-07
-665.625,2.916501955128787e-07
-665.5000000000001,2.91539308854953e-07
-665.375,2.9142847960067913e-07
-665.25,2.91317707698459e-07
-665.1249999999999,2.912069930966682e-07
-664.9999999999999,2.910963357438235e-07
-664.875,2.909857355886209e-07
-664.75,2.908751925797727e-07
-664.625,2.90764706665909e-07
-664.5,2.90654277795679e-07
-664.375,2.905439059179589e-07
-664.25,2.904335909816004e-07
-664.1250000000001,2.903233329355468e-07
-664.0,2.902131317289054e-07
-663.875,2.901029873108199e-07
-663.7499999999999,2.899928996302097e-07
-663.625,2.8988286863646095e-07
-663.5,2.897728942789575e-07
-663.375,2.89662976506906e-07
-663.25,2.895531152697351e-07
-663.125,2.8944331051701924e-07
-663.0,2.893335621980584e-07
-662.875,2.8922387026235686e-07
-662.75,2.8911423465956966e-07
-662.625,2.890046553392785e-07
-662.5,2.88895132251231e-07
-662.3749999999999,2.887856653452376e-07
-662.25,2.8867625457121015e-07
-662.125,2.8856689987881306e-07
-662.0,2.8845760121816997e-07
-661.875,2.883483585394013e-07
-661.75,2.8823917179253104e-07
-661.625,2.881300409278884e-07
-661.5,2.880209658956367e-07
-661.375,2.8791194664625285e-07
-661.25,2.8780298312987407e-07
-661.125,2.876940752971667e-07
-660.9999999999999,2.875852230983435e-07
-660.875,2.874764264841771e-07
-660.75,2.873676854052248e-07
-660.625,2.872589998120705e-07
-660.5,2.8715036965552583e-07
-660.375,2.8704179488646636e-07
-660.25,2.869332754556371e-07
-660.125,2.868248113138514e-07
-660.0,2.867164024122681e-07
-659.875,2.8660804870147913e-07
-659.75,2.8649975013249535e-07
-659.6249999999999,2.8639150665644034e-07
-659.5,2.862833182243981e-07
-659.375,2.8617518478736947e-07
-659.25,2.8606710629681305e-07
-659.125,2.8595908270406655e-07
-659.0,2.858511139604852e-07
-658.875,2.8574320001763473e-07
-658.75,2.85635340827256e-07
-658.625,2.855275363407594e-07
-658.5,2.8541978650992865e-07
-658.375,2.8531209128638805e-07
-658.2499999999999,2.8520445062195256e-07
-658.125,2.850968644685159e-07
-658.0,2.849893327778804e-07
-657.875,2.848818555018962e-07
-657.75,2.847744325924869e-07
-657.625,2.846670640016661e-07
-657.5,2.845597496813856e-07
-657.3750000000001,2.844524895837402e-07
-657.25,2.8434528366099335e-07
-657.125,2.8423813186516533e-07
-657.0,2.84131034148517e-07
-656.8749999999999,2.840239904638403e-07
-656.75,2.839170007631619e-07
-656.625,2.8381006499939847e-07
-656.5,2.8370318312505794e-07
-656.375,2.835963550928512e-07
-656.25,2.8348958085544114e-07
-656.125,2.83382860365683e-07
-656.0000000000001,2.832761935765139e-07
-655.875,2.831695804405156e-07
-655.75,2.8306302091091283e-07
-655.6249999999999,2.829565149402425e-07
-655.5,2.8285006248161085e-07
-655.375,2.827436634880538e-07
-655.25,2.8263731791243274e-07
-655.125,2.825310257078857e-07
-655.0,2.8242478682755665e-07
-654.875,2.823186012245343e-07
-654.75,2.8221246885216765e-07
-654.6250000000001,2.821063896638261e-07
