symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
2204,-1.0,0.11486500882559711,0.024873038234912194,35,0.021875000000000006,-0.0029980382349121884,False,False,False
2230,-3.0,-0.4806666997954403,-0.10408427531149762,15,-0.10312500000000001,0.0009592753114976149,False,False,False
2256,3.0,0.11746205059054445,0.025435405484761794,36,0.02812500000000001,0.0026895945152382167,False,False,False
2281,1.0,0.1905655880251144,0.04126535317995747,38,0.040624999999999994,-0.0006403531799574758,False,False,False
2307,1.0,0.08124075148529912,0.017591992013816338,34,0.015625,-0.0019669920138163377,False,False,False
2333,-1.0,-0.09443419883240683,-0.020448920539483967,28,-0.021875000000000006,-0.0014260794605160387,False,False,False
2358,-3.0,-0.2940679396456168,-0.06367790488374828,21,-0.06562500000000002,-0.0019470951162517403,False,False,False
2384,1.0,0.24606638495148261,0.05328357751243171,40,0.05312499999999998,-0.00015857751243172902,False,False,False
2409,1.0,0.12658580608349607,0.027411076940694355,36,0.02812500000000001,0.0007139230593056559,False,False,False
2435,1.0,0.28595767509597003,0.06192169624979517,41,0.05937500000000001,-0.002546696249795158,False,False,False
2461,-1.0,-0.158342976533951,-0.03428782141599506,26,-0.03437499999999999,-8.7178584004928e-05,False,False,False
2486,-1.0,0.03259992911511028,0.007059236678131572,33,0.009374999999999994,0.0023157633218684227,False,False,False
2512,1.0,0.1411139083288454,0.03055701360429526,36,0.02812500000000001,-0.0024320136042952495,False,False,False
2538,-3.0,-0.21301605926093964,-0.04612681129631329,24,-0.046875,-0.0007481887036867099,False,False,False
2563,1.0,-0.06916520788215995,-0.01497713601180906,29,-0.015625,-0.0006478639881909408,False,False,False
2589,3.0,0.2567073036443752,0.05558777772282618,40,0.05312499999999998,-0.002462777722826201,False,False,False
2615,3.0,0.2092985571089868,0.04532181790355354,39,0.046875,0.001553182096446462,False,False,False
2640,-3.0,-0.18637245825215637,-0.04035736668143129,25,-0.040624999999999994,-0.00026763331856870243,False,False,False
2666,3.0,0.30691261892422295,0.06645931065804325,42,0.06562499999999999,-0.0008343106580432635,False,False,False
2691,-1.0,-0.18009861084529943,-0.03899881852106252,25,-0.040624999999999994,-0.0016261814789374773,False,False,False
2717,3.0,0.2242382018685171,0.04855687058947643,39,0.046875,-0.001681870589476428,False,False,False
2743,3.0,-0.07817650954182682,-0.016928456549010575,29,-0.015625,0.0013034565490105746,False,False,False
2768,-3.0,-0.1804457832666845,-0.03907399574865782,25,-0.040624999999999994,-0.001551004251342178,False,False,False
2794,-1.0,0.09884669175406322,0.02140440825740402,35,0.021875000000000006,0.0004705917425959841,False,False,False
2820,1.0,0.14184461648335217,0.03071524222458126,36,0.02812500000000001,-0.002590242224581249,False,False,False
2845,-3.0,-0.4104148364279722,-0.08887183331999474,17,-0.09062500000000001,-0.0017531666800052748,False,False,False
2871,-3.0,-0.1976307987541708,-0.04279526431998407,25,-0.040624999999999994,0.002170264319984072,False,False,False
2897,1.0,0.13910622762356348,0.030122267466576383,36,0.02812500000000001,-0.0019972674665763718,False,False,False
2922,-3.0,-0.23239866905694745,-0.05032395017679234,23,-0.053125000000000006,-0.0028010498232076686,False,False,False
2948,1.0,0.09815033936982606,0.02125361908622659,35,0.021875000000000006,0.0006213809137734158,False,False,False
2974,-3.0,-0.33700319196949613,-0.07297516767592657,20,-0.071875,0.0011001676759265777,False,False,False
2999,3.0,0.24480357632597421,0.053010127072242896,40,0.05312499999999998,0.00011487292775708147,False,False,False
3025,-1.0,-0.12894985623151584,-0.02792299184256169,27,-0.02812500000000001,-0.00020200815743831937,False,False,False
3050,-1.0,0.03461770969788952,0.007496169858203318,33,0.009374999999999994,0.0018788301417966766,False,False,False
3076,-3.0,-0.25224416470219696,-0.05462132304100853,23,-0.053125000000000006,0.0014963230410085238,False,False,False
3102,-1.0,-0.047679398772149016,-0.010324567253356705,30,-0.009374999999999994,0.0009495672533567107,False,False,False
3127,3.0,0.25989404680903216,0.05627783978254108,41,0.05937500000000001,0.0030971602174589344,False,False,False
3153,3.0,0.31833367684130276,0.06893244336537618,43,0.07187500000000002,0.0029425566346238385,False,False,False
3179,-3.0,-0.10558624094046695,-0.022863800167206703,28,-0.021875000000000006,0.0009888001672066979,False,False,False
3204,1.0,0.0625105540903641,0.013536127475826115,34,0.015625,0.002088872524173885,False,False,False
3230,-3.0,-0.30604317575378526,-0.06627104015301749,21,-0.06562500000000002,0.0006460401530174742,False,False,False
3256,1.0,0.038848864660376514,0.008412390387290355,33,0.009374999999999994,0.0009626096127096397,False,False,False
3281,-1.0,0.03583069895515923,0.007758832338997783,33,0.009374999999999994,0.0016161676610022113,False,False,False
3307,-1.0,-0.19451969237952338,-0.04212158076220906,25,-0.040624999999999994,0.001496580762209064,False,False,False
3333,1.0,0.05735643935044031,0.01242004787679088,33,0.009374999999999994,-0.003045047876790885,False,False,False
3358,1.0,0.06755326340634908,0.01462808318023456,34,0.015625,0.00099691681976544,False,False,False
3384,1.0,0.04302188191145,0.009316021690697073,33,0.009374999999999994,5.897830930292128e-05,False,False,False
3409,-3.0,-0.1574865748133308,-0.034102374925726,26,-0.03437499999999999,-0.0002726250742739883,False,False,False
3435,1.0,0.047559384154421985,0.010298579111223644,33,0.009374999999999994,-0.0009235791112236491,False,False,False
3461,3.0,0.17080844530765632,0.03698711238889042,37,0.03437499999999999,-0.0026121123888904335,False,False,False
3486,-1.0,-0.11267130887301541,-0.024398011215331895,28,-0.021875000000000006,0.00252301121533189,False,False,False
3512,-3.0,-0.2892580333127246,-0.06263636068027359,21,-0.06562500000000002,-0.002988639319726427,False,False,False
3538,-3.0,-0.1879690518634518,-0.04070309541418804,25,-0.040624999999999994,7.809541418804522e-05,False,False,False
3563,-3.0,-0.24939783787288639,-0.05400497523606482,23,-0.053125000000000006,0.0008799752360648117,False,False,False
3589,-1.0,-0.09618115531247776,-0.020827209069366054,28,-0.021875000000000006,-0.0010477909306339517,False,False,False
3615,-1.0,-0.09955586701915017,-0.021557974114091858,28,-0.021875000000000006,-0.0003170258859081475,False,False,False
3640,-3.0,-0.1530037966690029,-0.0331316675421416,26,-0.03437499999999999,-0.0012433324578583899,False,False,False
3666,-1.0,-0.1730033816291523,-0.03746240713361685,26,-0.03437499999999999,0.003087407133616861,False,False,False
3691,-3.0,-0.37656266887037726,-0.08154143508467873,18,-0.084375,-0.002833564915321274,False,False,False
3717,-1.0,-0.18423102230082897,-0.03989365698568006,25,-0.040624999999999994,-0.0007313430143199365,False,False,False
3743,-1.0,-0.023552802851772657,-0.005100158628472953,31,-0.003124999999999989,0.001975158628472964,False,False,False
3768,1.0,0.2373299904677568,0.05139178578011291,40,0.05312499999999998,0.0017332142198870706,False,False,False
3794,-3.0,-0.11309979534239614,-0.02449079630667534,28,-0.021875000000000006,0.0026157963066753345,False,False,False
3820,1.0,-0.04356068299334675,-0.009432694470754724,30,-0.009374999999999994,5.7694470754729096e-05,False,False,False
3845,3.0,0.20501618476461314,0.044394506687137236,39,0.046875,0.0024804933128627638,False,False,False
3871,1.0,0.12064948607386036,0.026125617460179017,36,0.02812500000000001,0.0019993825398209944,False,False,False
3897,1.0,0.19710341172251655,0.04268106315518156,38,0.040624999999999994,-0.002056063155181566,False,False,False
