symbol_index,normalized_pam4_symbol,tx_center_sample_v,channel_center_sample_v
8666,1.0,0.14643022292977542,-0.054065994486188956
8692,1.0,0.14847097671306128,0.11832530572514795
8717,-1.0,-0.15152922635336546,-0.08245687681435376
8743,1.0,0.15169975383918471,0.166475052129675
8768,-1.0,-0.14643024650940709,0.05058557636441117
8794,-3.0,-0.4466009396087599,-0.08240874908692461
8820,-3.0,-0.44456023632877056,0.04110732506034952
8845,1.0,0.14625999076724516,0.03407315608516633
8871,3.0,0.4494884465170881,0.025011440411112133
8897,1.0,0.15152908727801295,-0.0024776652614454794
8922,-1.0,-0.1484708626362979,0.034165936663324833
8948,3.0,0.4496588629789353,0.05615317099738651
8974,1.0,0.14982942611870143,0.031113864209005044
8999,-3.0,-0.4494884114992168,-0.0389521678645139
9025,-1.0,-0.1481299880678542,-0.01744692930688473
9050,1.0,0.15135865116585473,0.035425825219538534
9076,3.0,0.444730710845072,0.11091971431902344
9102,1.0,0.14677131976909136,0.06699367802935977
9127,-3.0,-0.44778878197346156,-0.036253091954858895
9153,1.0,0.15187007250876156,0.12031780313302957
9179,-3.0,-0.44812971721615674,-0.031168193164048008
9204,-1.0,-0.1481298859899851,0.07806853293592808
9230,1.0,0.14847102592561212,0.06410655532252574
9256,1.0,0.1462597951149744,-0.12843468809557357
9281,1.0,0.14660093252849088,-0.02021753051485558
9307,1.0,0.1496589047739039,-0.05479789107848694
9333,-3.0,-0.449829488035589,-0.13714809312900256
9358,-3.0,-0.44473080479310356,-0.05201211281934635
9384,-3.0,-0.44660080362534543,-0.15377684580403364
9409,3.0,0.4500000383358627,0.15634073982236485
9435,3.0,0.4443896965319607,0.002921112761801587
9461,-1.0,-0.1484710025292248,-0.057556258175441286
9486,3.0,0.44812993849198834,0.09931899904780438
9512,1.0,0.1516996777367453,0.12554960438844606
9538,1.0,0.14847098096689532,0.0897873128350484
9563,1.0,0.15152907443242553,0.05054664995751304
9589,-1.0,-0.14982954555740643,-0.02464600782614107
9615,-3.0,-0.4466010072790092,-0.16927043670620967
9640,1.0,0.14625987678614177,-0.04993681335489938
9666,-3.0,-0.4498294612847654,-0.07853670335048343
9692,-3.0,-0.4498294852232645,-0.16423602450690547
9717,1.0,0.14660068411535787,-0.11012301937586683
9743,-1.0,-0.14643028442029232,-0.013264731333538539
9768,-3.0,-0.44473064430004156,-0.070706853582861
9794,-3.0,-0.44608943957717684,-0.032207195989607446
9820,1.0,0.14795937407705606,-0.08903565428214832
9845,1.0,0.14795948973158962,-0.03935873451326388
